name,rating,actor
Mardaani,7.3,"Pradeep Sarkar (dir.), Rani Mukerji, Tahir Raj Bhasin"
Saajan,7.3,"Lawrence D'Souza (dir.), Sanjay Dutt, Madhuri Dixit"
Taxi No. 9 2 11: Nau Do Gyarah,7.2,"Milan Luthria (dir.), John Abraham, Nana Patekar"
Shaitan,7.2,"Bejoy Nambiar (dir.), Kalki Koechlin, Shiv Pandit"
Mom,7.2,"Ravi Udyawar (dir.), Sridevi, Akshaye Khanna"
Te3n,7.2,"Ribhu Dasgupta (dir.), Amitabh Bachchan, Vidya Balan"
Shanghai,7.2,"Dibakar Banerjee (dir.), Emraan Hashmi, Abhay Deol"
No One Killed Jessica,7.2,"Raj Kumar Gupta (dir.), Rani Mukerji, Vidya Balan"
Dookudu,7.2,"Sreenu Vaitla (dir.), Mahesh Babu, Samantha Ruth Prabhu"
Namastey London,7.2,"Vipul Amrutlal Shah (dir.), Akshay Kumar, Katrina Kaif"
Pyaar Ka Punchnama 2,7.2,"Luv Ranjan (dir.), Kartik Aaryan, Omkar Kapoor"
Tere Bin Laden,7.2,"Abhishek Sharma (dir.), Ali Zafar, Pradhuman Singh"
Band Baaja Baaraat,7.2,"Maneesh Sharma (dir.), Ranveer Singh, Anushka Sharma"
D-Day,7.2,"Nikkhil Advani (dir.), Irrfan Khan, Rishi Kapoor"
Talaash,7.2,"Reema Kagti (dir.), Aamir Khan, Kareena Kapoor"
Nannaku Prematho,7.2,"Sukumar (dir.), N.T. Rama Rao Jr., Rakul Preet Singh"
