,title,location,date,link
123,Seafood Processing Plant Seeks Maintenance Clerk,N/A,Jan 16,https://boston.craigslist.org/gbs/ofc/d/boston-seafood-processing-plant-seeks/6796247833.html
124,Office Manager,N/A,Jan 16,https://boston.craigslist.org/gbs/ofc/d/boston-office-manager/6796235747.html
125,Office Manager Needed,N/A,Jan 16,https://boston.craigslist.org/gbs/ofc/d/boston-office-manager-needed/6796228805.html
126,Executive Assistant - Dean's office, (Cambridge),Jan 16,https://boston.craigslist.org/gbs/ofc/d/cambridge-executive-assistant-deans/6796225803.html
127,Admin Assistant Needed in Watertown, (Watertown),Jan 15,https://boston.craigslist.org/gbs/ofc/d/watertown-admin-assistant-needed-in/6795986025.html
128,Recruiting Assistant to $62k Plus Bonus!, (Boston: Boston/Cambridge/Brookline),Jan 15,https://boston.craigslist.org/gbs/ofc/d/boston-recruiting-assistant-to-62k-plus/6795910989.html
129,Executive Assistant to $75k, (Boston: Boston/Cambridge/Brookline),Jan 15,https://boston.craigslist.org/gbs/ofc/d/boston-executive-assistant-to-75k/6795910961.html
130,Property Coordinator, (Boston: Boston/Cambridge/Brookline),Jan 15,https://boston.craigslist.org/gbs/ofc/d/boston-property-coordinator/6795910922.html
131,*****Receptionist /Office/admin******FULL-TIME ****, (CHELSEA),Jan 15,https://boston.craigslist.org/nos/ofc/d/chelsea-receptionist-office-adminfull/6795907915.html
132,Dental Part-Time Front Desk Needed, (BOSTON),Jan 15,https://boston.craigslist.org/gbs/ofc/d/boston-dental-part-time-front-desk/6795880983.html
133,Database Administrative Assistant- up to 43K +GREAT Benefits!, (Boston),Jan 15,https://boston.craigslist.org/gbs/ofc/d/boston-database-administrative/6795859542.html
134,Administrative Case Coordinator, (Newton Corner),Jan 15,https://boston.craigslist.org/gbs/ofc/d/newton-administrative-case-coordinator/6795855332.html
135,Non-Profit Office Assistant, (Quincy),Jan 15,https://boston.craigslist.org/gbs/ofc/d/non-profit-office-assistant/6795819488.html
136,Executive Assistant to the CEO, (financial district),Jan 15,https://boston.craigslist.org/gbs/ofc/d/executive-assistant-to-the-ceo/6795818040.html
137,HVAC Service  Office Assistant, (Malden),Jan 15,https://boston.craigslist.org/nos/ofc/d/malden-hvac-service-office-assistant/6795771533.html
138,Scheduling Coordinator in Back Bay, (Boston: Boston/Cambridge/Brookline),Jan 15,https://boston.craigslist.org/gbs/ofc/d/boston-scheduling-coordinator-in-back/6795748546.html
139,Office Manager for Optical Engineering company, (Southborough),Jan 15,https://boston.craigslist.org/bmw/ofc/d/fayville-office-manager-for-optical/6795705018.html
140,Receptionist/Office Admin, (Malden),Jan 15,https://boston.craigslist.org/nos/ofc/d/malden-receptionist-office-admin/6795687900.html
141,Office/Admin, (Woburn),Jan 15,https://boston.craigslist.org/nos/ofc/d/woburn-office-admin/6795672277.html
